('31069', 4872)	
('31068', 1192)	
('31063', 1607)	
('31062', 336)	
('31278', 13523)	
('31279', 4350)	
('31276', 13063)	
('31277', 17015)	
('31274', 11791)	
('31275', 13015)	
('31272', 35343)	
('31273', 8365)	
('31270', 29119)	
('31271', 43151)	
('32013', 2690)	
('32012', 1631)	
('32011', 1273)	
('32010', 1635)	
('32017', 385)	
('32016', 320)	
('32015', 92)	
('32014', 4896)	
('32019', 1817)	
('32018', 129)	
('31250', 30407)	
('31251', 48696)	
('31240', 58210)	
('31009', 23313)	
('31008', 13047)	
('31005', 16936)	
('31004', 9212)	
('31007', 49836)	
('31006', 16480)	
('31001', 13400)	
('31000', 6194)	
('31003', 16116)	
('31002', 19821)	
('31258', 148382)	
('31259', 13378)	
('31078', 1790)	
('31079', 2829)	
('31070', 1637)	
('31071', 1515)	
('31072', 565)	
('31073', 1718)	
('31074', 1886)	
('31075', 672)	
('31076', 744)	
('31077', 9498)	
('31306', 26833)	
('31307', 30226)	
('31304', 25400)	
('31305', 37773)	
('31302', 31320)	
('31303', 38479)	
('31300', 31219)	
('31301', 23256)	
('31804', 1746)	
('31308', 11071)	
('31309', 3947)	
('31096', 153)	
('31094', 400)	
('31095', 328)	
('31092', 564)	
('31093', 1039)	
('31090', 667)	
('31091', 1453)	
('32050', 370)	
('31229', 151425)	
('31228', 119371)	
('31281', 487)	
('31280', 4621)	
('31120', 12608)	
('31121', 37265)	
('31232', 107018)	
('31233', 74485)	
('31609', 27276)	
('31231', 77428)	
('31236', 57273)	
('31237', 99288)	
('31234', 68353)	
('31235', 79373)	
('31603', 93017)	
('31602', 106313)	
('31601', 21799)	
('31600', 109396)	
('31607', 45423)	
('31606', 47504)	
('31605', 71410)	
('31604', 68224)	
('31041', 7506)	
('31040', 6487)	
('31043', 7549)	
('31042', 10526)	
('31045', 4353)	
('31044', 7833)	
('31047', 13796)	
('31046', 3401)	
('31049', 5426)	
('31048', 17029)	
('31516', 3743)	
('31500', 15944)	
('31501', 6019)	
('31050', 5757)	
('31051', 6560)	
('31056', 1847)	
('31057', 2161)	
('31249', 87024)	
('31248', 96199)	
('31054', 1004)	
('31243', 83240)	
('31242', 61293)	
('31241', 144543)	
('31507', 10473)	
('31247', 143031)	
('31246', 77159)	
('31245', 67887)	
('31244', 52746)	
('32008', 2507)	
('32009', 444)	
('32004', 523)	
('32005', 206)	
('32006', 2733)	
('32007', 736)	
('32000', 2231)	
('32001', 2285)	
('32002', 4143)	
('32003', 1284)	
('31018', 12465)	
('31019', 10991)	
('31016', 15217)	
('31017', 29684)	
('31014', 49067)	
('31015', 29276)	
('31012', 9658)	
('31013', 11016)	
('31010', 17995)	
('31011', 19370)	
('31230', 95323)	
('31608', 28807)	
('32040', 1687)	
('32041', 231)	
('32042', 47)	
('32043', 685)	
('32044', 675)	
('32045', 1673)	
('32046', 2612)	
('32047', 480)	
('32048', 5040)	
('32049', 563)	
('31238', 76644)	
('31239', 85271)	
('31119', 33095)	
('31118', 19816)	
('31113', 57712)	
('31112', 18037)	
('31111', 85819)	
('31110', 120804)	
('31117', 35697)	
('31116', 68519)	
('31115', 37024)	
('31114', 43709)	
('32035', 818)	
('32034', 1223)	
('32037', 1038)	
('32036', 1639)	
('32031', 226)	
('32030', 74)	
('32033', 329)	
('32032', 405)	
('32039', 1265)	
('32038', 938)	
('31614', 40303)	
('31615', 43187)	
('31616', 74339)	
('31617', 24173)	
('31610', 75819)	
('31611', 60603)	
('31612', 58024)	
('31613', 145100)	
('31618', 76759)	
('31619', 91886)	
('31209', 20190)	
('31208', 46268)	
('31207', 25505)	
('31206', 32093)	
('31205', 93762)	
('31204', 65483)	
('31203', 121280)	
('31202', 104088)	
('31201', 189679)	
('31200', 270323)	
('31710', 294)	
('31052', 4747)	
('31053', 4367)	
('31502', 9132)	
('31503', 67258)	
('31504', 14195)	
('31505', 29580)	
('31506', 54768)	
('31055', 2295)	
('31508', 19617)	
('31509', 23616)	
('31058', 497)	
('31059', 483)	
('31638', 12815)	
('31711', 312)	
('31517', 3829)	
('31807', 918)	
('31806', 938)	
('31801', 4633)	
('31800', 425)	
('31803', 1993)	
('31802', 3626)	
('31515', 1465)	
('31514', 3765)	
('31513', 11015)	
('31512', 10079)	
('31029', 10797)	
('31028', 9920)	
('31511', 3774)	
('31023', 12370)	
('31022', 19080)	
('31021', 12179)	
('31510', 1490)	
('31027', 7548)	
('31026', 7509)	
('31025', 8751)	
('31024', 20767)	
('31254', 46011)	
('31255', 40811)	
('31256', 42322)	
('31257', 72862)	
('31629', 22265)	
('31628', 49271)	
('31252', 33223)	
('31253', 32409)	
('31625', 36500)	
('31624', 115948)	
('31627', 34491)	
('31626', 32527)	
('31621', 37277)	
('31620', 71232)	
('31623', 244588)	
('31622', 64699)	
('31266', 54955)	
('31805', 1758)	
('31269', 34367)	
('31268', 45419)	
('31265', 51010)	
('31264', 37448)	
('31267', 47724)	
('31226', 32592)	
('31261', 31698)	
('31260', 25589)	
('31263', 41190)	
('31262', 31503)	
('32026', 3614)	
('32027', 2454)	
('32024', 1617)	
('32025', 2782)	
('32022', 343)	
('32023', 409)	
('32020', 581)	
('32021', 1789)	
('32028', 1538)	
('32029', 2298)	
('31218', 75856)	
('31219', 82021)	
('31211', 17836)	
('31212', 104428)	
('31213', 96979)	
('31214', 155095)	
('31215', 65489)	
('31216', 61639)	
('31217', 77760)	
('31408', 9190)	
('31401', 39777)	
('31400', 58372)	
('31403', 3338)	
('31402', 11838)	
('31405', 5300)	
('31404', 20386)	
('31407', 7243)	
('31406', 10396)	
('31104', 136936)	
('31105', 96647)	
('31106', 76360)	
('31107', 85409)	
('31100', 59698)	
('31101', 148695)	
('31102', 83556)	
('31103', 112176)	
('31067', 2828)	
('31066', 2452)	
('31065', 4364)	
('31064', 755)	
('31108', 76252)	
('31109', 72358)	
('31061', 475)	
('31060', 4874)	
('31315', 1419)	
('31314', 11246)	
('31310', 12191)	
('31313', 6136)	
('31312', 27565)	
('31085', 1751)	
('31084', 3023)	
('31087', 1657)	
('31086', 1977)	
('31081', 1007)	
('31080', 3539)	
('31083', 1837)	
('31082', 897)	
('31089', 7374)	
('31088', 1263)	
('31702', 353)	
('31703', 1350)	
('31700', 1181)	
('31701', 776)	
('31706', 523)	
('31707', 2155)	
('31704', 214)	
('31705', 1040)	
('31708', 3860)	
('31709', 172)	
('31221', 77133)	
('31220', 52866)	
('31223', 92647)	
('31222', 102274)	
